trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
281,False,"{'a': 0.15, 'e': 1.0}",20,0,-110.32768290377975,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
282,False,"{'a': 0.15, 'e': 1.0}",20,0,-30.007683901721816,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
283,False,"{'a': 0.15, 'e': 1.0}",20,12,-29.85440848445986,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
284,False,"{'a': 0.15, 'e': 1.0}",30,0,-275.60082727408076,"{0: 15, 1: 2, 2: 6, 3: 3, 4: 4}",0
285,False,"{'a': 0.15, 'e': 1.0}",30,0,-81.21563890184761,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
286,False,"{'a': 0.15, 'e': 1.0}",20,0,-104.10468157125109,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
287,False,"{'a': 0.15, 'e': 1.0}",20,0,-67.3108522530178,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
288,False,"{'a': 0.15, 'e': 1.0}",35,0,-192.794150770739,"{0: 17, 1: 2, 2: 14, 3: 1, 4: 1}",0
289,False,"{'a': 0.15, 'e': 1.0}",20,2,-86.99147316566967,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 1}",1
290,False,"{'a': 0.15, 'e': 1.0}",25,0,-120.20142682515377,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
291,False,"{'a': 0.15, 'e': 1.0}",25,0,-95.78663924509914,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
292,False,"{'a': 0.15, 'e': 1.0}",20,0,-183.65897550161088,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
293,False,"{'a': 0.15, 'e': 1.0}",30,0,-165.91058432623484,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
294,False,"{'a': 0.15, 'e': 1.0}",25,0,-161.80086196058124,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
295,False,"{'a': 0.15, 'e': 1.0}",25,9,-111.1106015400472,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
296,False,"{'a': 0.15, 'e': 1.0}",30,0,-44.814420677103875,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
297,False,"{'a': 0.15, 'e': 1.0}",20,0,-71.66101490214271,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
298,False,"{'a': 0.15, 'e': 1.0}",20,0,-135.18592910724806,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
299,False,"{'a': 0.15, 'e': 1.0}",20,0,-107.96823868064746,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
300,False,"{'a': 0.15, 'e': 1.0}",20,0,-124.08306457136118,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
301,False,"{'a': 0.15, 'e': 1.0}",20,13,-54.96951749901869,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
302,False,"{'a': 0.15, 'e': 1.0}",30,0,-164.37709573815445,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
303,False,"{'a': 0.15, 'e': 1.0}",25,0,-139.5617432928296,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
304,False,"{'a': 0.15, 'e': 1.0}",25,0,-151.96202647885633,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
305,False,"{'a': 0.15, 'e': 1.0}",25,1,-148.7355122090204,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 3}",1
306,False,"{'a': 0.15, 'e': 1.0}",25,0,-163.3021459068554,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
307,False,"{'a': 0.15, 'e': 1.0}",20,0,-113.05246867864572,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
